Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
01/01/2020,38026,21352,59378,12213,4569,16782,11947,16016,21352,37368,2485,5228
01/02/2020,38039,21341,59380,12213,4584,16797,11943,16014,21341,37355,2485,5228
01/03/2020,37963,21288,59251,12159,4586,16745,11914,15979,21288,37267,2489,5239
01/04/2020,37952,21292,59244,12162,4569,16731,11915,15987,21292,37279,2487,5234
01/05/2020,38174,21367,59541,12293,4606,16899,11957,16050,21367,37417,2483,5225
01/06/2020,38171,21327,59498,12327,4611,16938,11934,16007,21327,37334,2483,5226
01/07/2020,38236,21347,59583,12353,4635,16988,11946,16022,21347,37369,2485,5226
01/08/2020,38272,21354,59626,12383,4633,17016,11967,16045,21354,37399,2476,5211
01/09/2020,38356,21457,59813,12391,4656,17047,12017,16102,21457,37559,2475,5207
01/10/2020,38204,21443,59647,12308,4619,16927,12011,16082,21443,37525,2469,5195
01/11/2020,38212,21471,59683,12323,4607,16930,12024,16096,21471,37567,2464,5186
01/12/2020,38281,21493,59774,12383,4636,17019,12023,16092,21493,37585,2458,5170
01/13/2020,38368,21479,59847,12403,4638,17041,12018,16095,21479,37574,2488,5232
01/14/2020,38490,21512,60002,12440,4664,17104,12044,16135,21512,37647,2495,5251
01/15/2020,38400,21505,59905,12404,4658,17062,12031,16115,21505,37620,2481,5223
01/16/2020,38418,21497,59915,12411,4674,17085,12028,16115,21497,37612,2479,5218
01/17/2020,38400,21467,59867,12392,4675,17067,12012,16092,21467,37559,2490,5241
01/18/2020,38368,21422,59790,12400,4695,17095,11989,16065,21422,37487,2474,5208
01/19/2020,38415,21422,59837,12423,4700,17123,11990,16074,21422,37496,2478,5218
01/20/2020,38465,21404,59869,12477,4701,17178,11974,16051,21404,37455,2486,5236
01/21/2020,38512,21445,59957,12490,4722,17212,11987,16070,21445,37515,2483,5230
01/22/2020,38469,21419,59888,12469,4738,17207,11966,16040,21419,37459,2482,5222
01/23/2020,38464,21399,59863,12455,4728,17183,11966,16035,21399,37434,2493,5246
01/24/2020,38330,21356,59686,12391,4691,17082,11946,16015,21356,37371,2489,5233
01/25/2020,38367,21362,59729,12424,4709,17133,11951,16032,21362,37394,2471,5202
01/26/2020,38431,21372,59803,12482,4721,17203,11957,16034,21372,37406,2467,5194
01/27/2020,38466,21370,59836,12484,4734,17218,11952,16031,21370,37401,2478,5217
01/28/2020,38458,21295,59753,12510,4741,17251,11921,15987,21295,37282,2480,5220
01/29/2020,38405,21300,59705,12488,4731,17219,11926,15977,21300,37277,2475,5209
01/30/2020,38374,21268,59642,12504,4731,17235,11903,15927,21268,37195,2476,5212
01/31/2020,38216,21278,59494,12401,4677,17078,11904,15939,21278,37217,2469,5199
02/01/2020,38161,21237,59398,12396,4668,17064,11879,15911,21237,37148,2463,5186
02/02/2020,38231,21252,59483,12454,4680,17134,11881,15921,21252,37173,2458,5176
02/03/2020,38222,21251,59473,12417,4689,17106,11881,15914,21251,37165,2470,5202
02/04/2020,37932,20906,58838,12409,4717,17126,11639,15635,20906,36541,2456,5171
02/05/2020,38032,20941,58973,12479,4711,17190,11662,15665,20941,36606,2457,5177
02/06/2020,38023,20939,58962,12471,4696,17167,11674,15678,20939,36617,2458,5178
02/07/2020,37967,20902,58869,12448,4690,17138,11659,15656,20902,36558,2454,5173
02/08/2020,37971,20854,58825,12464,4704,17168,11623,15598,20854,36452,2468,5205
02/09/2020,38043,20871,58914,12505,4700,17205,11639,15627,20871,36498,2471,5211
02/10/2020,38018,20854,58872,12503,4701,17204,11619,15601,20854,36455,2472,5213
02/11/2020,38032,20868,58900,12522,4702,17224,11627,15613,20868,36481,2463,5195
02/12/2020,38013,20850,58863,12504,4710,17214,11613,15592,20850,36442,2470,5207
02/13/2020,38042,20874,58916,12527,4712,17239,11624,15603,20874,36477,2467,5200
02/14/2020,37969,20837,58806,12482,4680,17162,11614,15600,20837,36437,2471,5207
02/15/2020,38019,20831,58850,12518,4688,17206,11618,15602,20831,36433,2473,5211
02/16/2020,38034,20813,58847,12547,4692,17239,11614,15597,20813,36410,2467,5198
02/17/2020,38077,20796,58873,12566,4717,17283,11603,15592,20796,36388,2470,5202
02/18/2020,38078,20774,58852,12576,4711,17287,11597,15574,20774,36348,2476,5217
02/19/2020,38000,20742,58742,12580,4703,17283,11566,15536,20742,36278,2459,5181
02/20/2020,37989,20730,58719,12603,4693,17296,11554,15511,20730,36241,2459,5182
02/21/2020,37926,20744,58670,12560,4683,17243,11561,15511,20744,36255,2453,5172
02/22/2020,37973,20764,58737,12562,4666,17228,11583,15557,20764,36321,2461,5188
02/23/2020,38026,20748,58774,12582,4690,17272,11579,15557,20748,36305,2466,5197
02/24/2020,37996,20700,58696,12579,4697,17276,11552,15521,20700,36221,2467,5199
02/25/2020,37972,20683,58655,12584,4694,17278,11539,15495,20683,36178,2466,5199
02/26/2020,37853,20654,58507,12521,4690,17211,11516,15454,20654,36108,2461,5188
02/27/2020,37879,20664,58543,12579,4681,17260,11516,15437,20664,36101,2458,5182
02/28/2020,37814,20661,58475,12533,4659,17192,11519,15444,20661,36105,2455,5178
02/29/2020,37790,20690,58480,12535,4660,17195,11519,15448,20690,36138,2441,5147
03/01/2020,37799,20652,58451,12552,4683,17235,11498,15425,20652,36077,2436,5139
03/02/2020,37786,20631,58417,12530,4675,17205,11488,15415,20631,36046,2448,5166
03/03/2020,37804,20638,58442,12539,4683,17222,11472,15405,20638,36043,2455,5177
03/04/2020,37744,20597,58341,12524,4679,17203,11441,15354,20597,35951,2460,5187
03/05/2020,37681,20542,58223,12529,4662,17191,11428,15323,20542,35865,2451,5167
03/06/2020,37606,20480,58086,12496,4658,17154,11409,15280,20480,35760,2452,5172
03/07/2020,37606,20499,58105,12453,4661,17114,11426,15309,20499,35808,2457,5183
03/08/2020,37680,20478,58158,12522,4660,17182,11418,15305,20478,35783,2462,5193
03/09/2020,37688,20453,58141,12527,4660,17187,11410,15280,20453,35733,2476,5221
03/10/2020,37667,20453,58120,12527,4664,17191,11414,15286,20453,35739,2461,5190
03/11/2020,37653,20465,58118,12519,4663,17182,11416,15276,20465,35741,2463,5195
03/12/2020,37684,20488,58172,12561,4656,17217,11423,15291,20488,35779,2457,5176
03/13/2020,37532,20458,57990,12493,4627,17120,11408,15277,20458,35735,2437,5135
03/14/2020,37452,20467,57919,12436,4600,17036,11406,15281,20467,35748,2438,5135
03/15/2020,37529,20492,58021,12488,4637,17125,11408,15278,20492,35770,2433,5126
03/16/2020,37480,20401,57881,12506,4628,17134,11357,15210,20401,35611,2437,5136
03/17/2020,37503,20421,57924,12511,4626,17137,11373,15228,20421,35649,2438,5138
03/18/2020,37492,20372,57864,12537,4619,17156,11344,15189,20372,35561,2442,5147
03/19/2020,37455,20358,57813,12528,4618,17146,11317,15158,20358,35516,2444,5151
03/20/2020,37303,20352,57655,12413,4610,17023,11310,15148,20352,35500,2433,5132
03/21/2020,37353,20351,57704,12462,4598,17060,11319,15163,20351,35514,2432,5130
03/22/2020,37478,20358,57836,12539,4616,17155,11332,15175,20358,35533,2441,5148
03/23/2020,37520,20383,57903,12579,4608,17187,11355,15199,20383,35582,2435,5134
03/24/2020,37567,20406,57973,12565,4603,17168,11387,15242,20406,35648,2446,5157
03/25/2020,37603,20372,57975,12573,4619,17192,11400,15260,20372,35632,2444,5151
03/26/2020,37604,20371,57975,12574,4612,17186,11412,15267,20371,35638,2445,5151
03/27/2020,37562,20357,57919,12562,4578,17140,11430,15285,20357,35642,2439,5137
03/28/2020,37667,20347,58014,12622,4614,17236,11437,15301,20347,35648,2436,5130
03/29/2020,37680,20362,58042,12618,4621,17239,11441,15303,20362,35665,2440,5138
03/30/2020,37708,20347,58055,12635,4635,17270,11437,15299,20347,35646,2441,5139
03/31/2020,37757,20341,58098,12677,4629,17306,11433,15298,20341,35639,2448,5153
04/01/2020,37728,20330,58058,12659,4617,17276,11436,15301,20330,35631,2446,5151
04/02/2020,37674,20265,57939,12673,4618,17291,11398,15254,20265,35519,2435,5129
04/03/2020,37709,20273,57982,12680,4617,17297,11414,15266,20273,35539,2444,5146
04/04/2020,37698,20280,57978,12681,4618,17299,11409,15262,20280,35542,2440,5137
04/05/2020,37747,20274,58021,12695,4631,17326,11406,15262,20274,35536,2450,5159
04/06/2020,37702,20278,57980,12669,4609,17278,11414,15270,20278,35548,2448,5154
04/07/2020,37716,20266,57982,12686,4617,17303,11399,15253,20266,35519,2450,5160
04/08/2020,37667,20254,57921,12694,4631,17325,11351,15192,20254,35446,2445,5150
04/09/2020,37621,20221,57842,12692,4633,17325,11329,15175,20221,35396,2433,5121
04/10/2020,37577,20185,57762,12658,4636,17294,11318,15161,20185,35346,2433,5122
04/11/2020,37591,20181,57772,12667,4622,17289,11334,15179,20181,35360,2431,5123
04/12/2020,37606,20170,57776,12667,4626,17293,11352,15188,20170,35358,2432,5125
04/13/2020,37664,20181,57845,12693,4635,17328,11371,15219,20181,35400,2428,5117
04/14/2020,37536,20109,57645,12643,4621,17264,11332,15163,20109,35272,2425,5109
04/15/2020,37493,20091,57584,12637,4628,17265,11312,15137,20091,35228,2415,5091
04/16/2020,37478,20023,57501,12720,4662,17382,11230,15032,20023,35055,2402,5064
04/17/2020,37455,20003,57458,12786,4638,17424,11163,14971,20003,34974,2401,5060
04/18/2020,37503,19998,57501,12810,4649,17459,11165,14974,19998,34972,2407,5070
04/19/2020,37456,19991,57447,12781,4628,17409,11164,14971,19991,34962,2410,5076
04/20/2020,37403,19965,57368,12766,4608,17374,11149,14955,19965,34920,2409,5074
04/21/2020,37333,19949,57282,12714,4608,17322,11143,14947,19949,34896,2404,5064
04/22/2020,37386,19976,57362,12779,4595,17374,11155,14964,19976,34940,2396,5048
04/23/2020,37336,19948,57284,12753,4608,17361,11129,14930,19948,34878,2395,5045
04/24/2020,37247,19891,57138,12702,4617,17319,11103,14890,19891,34781,2393,5038
04/25/2020,37222,19899,57121,12702,4614,17316,11108,14891,19899,34790,2381,5015
04/26/2020,37311,19892,57203,12782,4630,17412,11098,14883,19892,34775,2381,5016
04/27/2020,37308,19861,57169,12805,4623,17428,11087,14859,19861,34720,2383,5021
04/28/2020,37239,19858,57097,12774,4601,17375,11089,14861,19858,34719,2373,5003
04/29/2020,37148,19819,56967,12764,4594,17358,11065,14829,19819,34648,2351,4961
04/30/2020,37084,19792,56876,12753,4546,17299,11064,14824,19792,34616,2351,4961
05/01/2020,36955,19750,56705,12703,4499,17202,11030,14771,19750,34521,2361,4982
05/02/2020,36907,19762,56669,12654,4477,17131,11047,14793,19762,34555,2364,4983
05/03/2020,36915,19730,56645,12685,4484,17169,11032,14771,19730,34501,2357,4975
05/04/2020,36972,19749,56721,12710,4493,17203,11038,14783,19749,34532,2364,4986
05/05/2020,36941,19726,56667,12734,4496,17230,11028,14767,19726,34493,2342,4944
05/06/2020,37006,19760,56766,12748,4529,17277,11040,14788,19760,34548,2341,4941
05/07/2020,36932,19760,56692,12711,4517,17228,11033,14773,19760,34533,2337,4931
05/08/2020,37038,19707,56745,12809,4531,17340,11011,14748,19707,34455,2345,4950
05/09/2020,37061,19710,56771,12800,4542,17342,11013,14754,19710,34464,2351,4965
05/10/2020,37096,19706,56802,12826,4536,17362,11015,14753,19706,34459,2358,4981
05/11/2020,37099,19700,56799,12810,4561,17371,11014,14750,19700,34450,2356,4978
05/12/2020,36987,19649,56636,12788,4539,17327,10990,14715,19649,34364,2340,4945
05/13/2020,36952,19676,56628,12744,4516,17260,11014,14747,19676,34423,2341,4945
05/14/2020,36924,19628,56552,12790,4501,17291,10978,14700,19628,34328,2335,4933
05/15/2020,36876,19616,56492,12745,4493,17238,10976,14698,19616,34314,2337,4940
05/16/2020,36889,19598,56487,12775,4488,17263,10960,14681,19598,34279,2340,4945
05/17/2020,36937,19574,56511,12815,4504,17319,10948,14669,19574,34243,2342,4949
05/18/2020,36933,19528,56461,12830,4499,17329,10942,14657,19528,34185,2342,4947
05/19/2020,36948,19566,56514,12825,4503,17328,10956,14677,19566,34243,2339,4943
05/20/2020,36975,19559,56534,12872,4510,17382,10953,14674,19559,34233,2328,4919
05/21/2020,36934,19546,56480,12871,4506,17377,10930,14637,19546,34183,2328,4920
05/22/2020,36888,19552,56440,12819,4496,17315,10946,14659,19552,34211,2325,4914
05/23/2020,36870,19494,56364,12821,4523,17344,10918,14611,19494,34105,2325,4915
05/24/2020,36844,19490,56334,12810,4510,17320,10919,14612,19490,34102,2325,4912
05/25/2020,36871,19522,56393,12813,4501,17314,10938,14639,19522,34161,2328,4918
05/26/2020,36883,19541,56424,12811,4506,17317,10942,14642,19541,34183,2332,4924
05/27/2020,36892,19550,56442,12830,4512,17342,10949,14641,19550,34191,2324,4909
05/28/2020,36870,19485,56355,12860,4504,17364,10923,14608,19485,34093,2319,4898
05/29/2020,36842,19472,56314,12841,4495,17336,10922,14609,19472,34081,2319,4897
05/30/2020,36753,19414,56167,12797,4502,17299,10887,14566,19414,33980,2315,4888
05/31/2020,36873,19410,56283,12891,4522,17413,10887,14569,19410,33979,2317,4891
06/01/2020,36916,19403,56319,12957,4501,17458,10885,14564,19403,33967,2319,4894
06/02/2020,36918,19409,56327,12983,4492,17475,10888,14567,19409,33976,2311,4876
06/03/2020,36880,19369,56249,12972,4501,17473,10859,14528,19369,33897,2312,4879
06/04/2020,36856,19329,56185,12993,4504,17497,10840,14498,19329,33827,2304,4861
06/05/2020,36852,19249,56101,13031,4479,17510,10809,14451,19249,33700,2318,4891
06/06/2020,36766,19256,56022,12958,4478,17436,10810,14446,19256,33702,2314,4884
06/08/2020,36851,19265,56116,13021,4472,17493,10821,14477,19265,33742,2312,4881
06/09/2020,36836,19246,56082,13035,4465,17500,10813,14471,19246,33717,2305,4865
06/10/2020,36811,19224,56035,13033,4481,17514,10796,14447,19224,33671,2297,4850
06/11/2020,36788,19240,56028,13001,4501,17502,10802,14451,19240,33691,2290,4835
06/12/2020,36737,19224,55961,12956,4497,17453,10797,14439,19224,33663,2295,4845
06/13/2020,36734,19238,55972,12935,4478,17413,10805,14453,19238,33691,2306,4868
06/14/2020,36794,19237,56031,12993,4491,17484,10801,14448,19237,33685,2303,4862
06/15/2020,36814,19256,56070,13012,4467,17479,10800,14444,19256,33700,2318,4891
06/17/2020,36717,19195,55912,13052,4442,17494,10774,14394,19195,33589,2286,4829
06/18/2020,36640,19170,55810,13054,4387,17441,10755,14365,19170,33535,2289,4834
06/19/2020,36647,19136,55783,13031,4466,17497,10725,14332,19136,33468,2282,4818
06/20/2020,36641,19133,55774,13028,4471,17499,10722,14328,19133,33461,2281,4814
06/21/2020,36638,19131,55769,12991,4493,17484,10727,14338,19131,33469,2281,4816
06/22/2020,36687,19170,55857,13010,4485,17495,10742,14365,19170,33535,2287,4827
06/23/2020,36689,19152,55841,13009,4478,17487,10745,14370,19152,33522,2289,4832
06/24/2020,36614,19045,55659,13045,4492,17537,10675,14276,19045,33321,2273,4801
06/25/2020,36605,19018,55623,13035,4492,17527,10681,14279,19018,33297,2272,4799
06/26/2020,36530,18983,55513,12985,4487,17472,10662,14261,18983,33244,2271,4797
06/28/2020,36556,18984,55540,13056,4467,17523,10657,14256,18984,33240,2261,4777
06/29/2020,36565,18980,55545,13080,4466,17546,10658,14260,18980,33240,2253,4759
06/30/2020,36562,18991,55553,13066,4464,17530,10664,14260,18991,33251,2260,4772
07/01/2020,36559,19001,55560,13038,4453,17491,10677,14286,19001,33287,2264,4782
07/02/2020,36486,18987,55473,13005,4453,17458,10670,14266,18987,33253,2254,4762
07/03/2020,36433,18940,55373,13013,4451,17464,10641,14226,18940,33166,2245,4743
07/04/2020,36268,18967,55235,12825,4437,17262,10655,14247,18967,33214,2253,4759
07/05/2020,36445,18957,55402,13015,4439,17454,10653,14241,18957,33198,2249,4750
07/06/2020,36555,18949,55504,13067,4481,17548,10658,14243,18949,33192,2254,4764
07/07/2020,36468,18926,55394,13086,4451,17537,10633,14198,18926,33124,2239,4733
07/08/2020,36471,18906,55377,13099,4463,17562,10621,14171,18906,33077,2243,4738
07/09/2020,36505,18951,55456,13102,4466,17568,10652,14211,18951,33162,2237,4726
07/10/2020,36557,18930,55487,13152,4486,17638,10641,14195,18930,33125,2236,4724
07/11/2020,36547,18913,55460,13151,4462,17613,10636,14194,18913,33107,2244,4740
07/12/2020,36495,18867,55362,13117,4486,17603,10602,14151,18867,33018,2243,4741
07/13/2020,36477,18858,55335,13136,4465,17601,10590,14130,18858,32988,2245,4746
07/14/2020,36472,18895,55367,13108,4470,17578,10617,14168,18895,33063,2235,4726
07/15/2020,36333,18918,55251,12933,4481,17414,10638,14195,18918,33113,2234,4724
07/16/2020,36447,18874,55321,13089,4476,17565,10612,14159,18874,33033,2235,4723
07/17/2020,36393,18854,55247,13070,4461,17531,10601,14156,18854,33010,2228,4706
07/18/2020,36358,18802,55160,13061,4477,17538,10568,14106,18802,32908,2232,4714
07/19/2020,36409,18825,55234,13081,4478,17559,10577,14127,18825,32952,2235,4723
07/20/2020,36438,18820,55258,13112,4479,17591,10579,14126,18820,32946,2234,4721
07/21/2020,36462,18834,55296,13128,4488,17616,10593,14137,18834,32971,2227,4709
07/22/2020,36464,18820,55284,13168,4474,17642,10585,14118,18820,32938,2225,4704
07/23/2020,36405,18801,55206,13120,4487,17607,10574,14102,18801,32903,2222,4696
07/24/2020,36362,18761,55123,13113,4461,17574,10568,14099,18761,32860,2220,4689
07/25/2020,36376,18758,55134,13114,4466,17580,10565,14099,18758,32857,2225,4697
07/26/2020,36388,18730,55118,13145,4486,17631,10547,14076,18730,32806,2217,4681
07/27/2020,36359,18717,55076,13130,4489,17619,10537,14067,18717,32784,2214,4673
07/28/2020,36355,18724,55079,13129,4481,17610,10550,14090,18724,32814,2205,4655
07/29/2020,36364,18684,55048,13160,4491,17651,10527,14045,18684,32729,2212,4668
07/30/2020,36374,18716,55090,13141,4508,17649,10542,14062,18716,32778,2208,4663
07/31/2020,36212,18718,54930,13048,4486,17534,10529,14040,18718,32758,2195,4638
08/01/2020,36156,18654,54810,13049,4481,17530,10486,13982,18654,32636,2198,4644
08/02/2020,36248,18708,54956,13072,4496,17568,10524,14032,18708,32740,2200,4648
08/03/2020,36306,18672,54978,13118,4503,17621,10508,14006,18672,32678,2214,4679
08/04/2020,36268,18675,54943,13104,4497,17601,10507,14011,18675,32686,2203,4656
08/05/2020,36241,18627,54868,13096,4498,17594,10488,13972,18627,32599,2213,4675
08/06/2020,36276,18669,54945,13148,4481,17629,10508,13987,18669,32656,2205,4660
08/07/2020,36205,18633,54838,13117,4485,17602,10490,13955,18633,32588,2199,4648
08/08/2020,36139,18623,54762,13085,4475,17560,10486,13943,18623,32566,2194,4636
08/09/2020,36222,18619,54841,13140,4496,17636,10483,13945,18619,32564,2196,4641
08/10/2020,36230,18611,54841,13116,4514,17630,10480,13937,18611,32548,2206,4663
08/11/2020,36154,18583,54737,13092,4532,17624,10473,13923,18583,32506,2181,4607
08/12/2020,36268,18639,54907,13148,4546,17694,10491,13949,18639,32588,2189,4625
08/13/2020,36227,18614,54841,13155,4529,17684,10479,13931,18614,32545,2183,4612
08/14/2020,36142,18587,54729,13091,4520,17611,10469,13909,18587,32496,2189,4622
08/15/2020,36174,18590,54764,13128,4516,17644,10468,13895,18590,32485,2195,4635
08/16/2020,36263,18613,54876,13192,4521,17713,10480,13915,18613,32528,2195,4635
08/17/2020,36216,18521,54737,13225,4526,17751,10430,13853,18521,32374,2184,4612
08/18/2020,36141,18521,54662,13145,4518,17663,10431,13859,18521,32380,2187,4619
08/19/2020,36233,18550,54783,13177,4531,17708,10466,13896,18550,32446,2193,4629
08/20/2020,36256,18535,54791,13224,4547,17771,10449,13874,18535,32409,2183,4611
08/21/2020,36193,18517,54710,13205,4527,17732,10434,13851,18517,32368,2184,4610
08/22/2020,36180,18524,54704,13190,4540,17730,10440,13860,18524,32384,2173,4590
08/23/2020,36226,18523,54749,13211,4546,17757,10446,13878,18523,32401,2172,4591
08/24/2020,36242,18514,54756,13221,4538,17759,10444,13881,18514,32395,2178,4602
08/25/2020,36138,18463,54601,13212,4545,17757,10415,13828,18463,32291,2154,4553
08/26/2020,36143,18487,54630,13220,4556,17776,10424,13843,18487,32330,2139,4524
08/27/2020,36180,18517,54697,13223,4552,17775,10441,13871,18517,32388,2144,4534
08/28/2020,36177,18461,54638,13231,4544,17775,10419,13839,18461,32300,2158,4563
08/29/2020,36220,18457,54677,13263,4557,17820,10425,13839,18457,32296,2157,4561
08/30/2020,36183,18472,54655,13230,4546,17776,10432,13847,18472,32319,2156,4560
08/31/2020,36134,18436,54570,13226,4533,17759,10414,13813,18436,32249,2158,4562
09/01/2020,36061,18441,54502,13239,4525,17764,10406,13790,18441,32231,2134,4507
09/02/2020,36108,18515,54623,13223,4535,17758,10450,13845,18515,32360,2132,4505
09/03/2020,36081,18431,54512,13240,4542,17782,10417,13793,18431,32224,2134,4506
09/04/2020,36009,18404,54413,13217,4531,17748,10397,13753,18404,32157,2134,4508
09/05/2020,36037,18399,54436,13248,4522,17770,10398,13756,18399,32155,2135,4511
09/06/2020,35959,18372,54331,13202,4509,17711,10385,13733,18372,32105,2136,4515
09/07/2020,36038,18425,54463,13235,4532,17767,10411,13769,18425,32194,2131,4502
09/08/2020,36052,18425,54477,13211,4554,17765,10408,13766,18425,32191,2140,4521
09/09/2020,36059,18431,54490,13263,4542,17805,10404,13763,18431,32194,2125,4491
09/10/2020,36070,18417,54487,13277,4564,17841,10405,13754,18417,32171,2118,4475
09/11/2020,36013,18410,54423,13236,4539,17775,10413,13759,18410,32169,2120,4479
09/12/2020,36022,18449,54471,13201,4542,17743,10437,13793,18449,32242,2124,4486
09/13/2020,36088,18410,54498,13283,4562,17845,10405,13743,18410,32153,2130,4500
09/14/2020,36008,18360,54368,13230,4557,17787,10381,13726,18360,32086,2127,4495
09/15/2020,36078,18382,54460,13310,4566,17876,10393,13726,18382,32108,2118,4476
09/16/2020,36098,18370,54468,13316,4576,17892,10399,13736,18370,32106,2116,4470
09/17/2020,36086,18352,54438,13334,4557,17891,10393,13724,18352,32076,2116,4471
09/18/2020,36066,18377,54443,13280,4549,17829,10411,13751,18377,32128,2123,4486
09/19/2020,36020,18340,54360,13284,4555,17839,10373,13710,18340,32050,2115,4471
09/20/2020,36071,18355,54426,13292,4568,17860,10393,13738,18355,32093,2116,4473
09/21/2020,36041,18296,54337,13315,4554,17869,10369,13700,18296,31996,2116,4472
09/22/2020,36024,18300,54324,13327,4565,17892,10358,13689,18300,31989,2101,4443
09/23/2020,35923,18250,54173,13293,4546,17839,10334,13654,18250,31904,2096,4430
09/24/2020,35922,18266,54188,13280,4543,17823,10344,13659,18266,31925,2101,4440
09/25/2020,35876,18257,54133,13220,4523,17743,10345,13666,18257,31923,2113,4467
09/26/2020,35850,18240,54090,13229,4510,17739,10335,13652,18240,31892,2109,4459
09/27/2020,35921,18269,54190,13272,4523,17795,10345,13669,18269,31938,2107,4457
09/28/2020,35919,18213,54132,13313,4510,17823,10308,13624,18213,31837,2114,4472
