Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
09/29/2020,35881,18255,54136,13276,4493,17769,10328,13644,18255,31899,2112,4468
09/30/2020,35873,18270,54143,13278,4520,17798,10326,13641,18270,31911,2096,4434
10/01/2020,35828,18269,54097,13242,4524,17766,10327,13642,18269,31911,2089,4420
10/02/2020,35823,18280,54103,13225,4503,17728,10344,13659,18280,31939,2097,4436
10/03/2020,35733,18215,53948,13210,4508,17718,10293,13587,18215,31802,2092,4428
10/04/2020,35832,18240,54072,13299,4512,17811,10310,13601,18240,31841,2088,4420
10/05/2020,35840,18201,54041,13289,4510,17799,10295,13593,18201,31794,2104,4448
10/06/2020,35849,18247,54096,13287,4517,17804,10320,13616,18247,31863,2096,4429
10/07/2020,35882,18252,54134,13321,4528,17849,10318,13620,18252,31872,2089,4413
10/08/2020,35870,18189,54059,13312,4532,17844,10287,13585,18189,31774,2102,4441
10/09/2020,35887,18228,54115,13292,4536,17828,10303,13612,18228,31840,2104,4447
10/10/2020,35935,18226,54161,13348,4521,17869,10316,13627,18226,31853,2100,4439
10/11/2020,35961,18229,54190,13366,4540,17906,10322,13632,18229,31861,2092,4423
10/12/2020,35975,18205,54180,13397,4543,17940,10302,13610,18205,31815,2093,4425
10/13/2020,35967,18247,54214,13352,4542,17894,10313,13630,18247,31877,2102,4443
10/14/2020,35878,18188,54066,13380,4511,17891,10276,13577,18188,31765,2085,4410
10/15/2020,35960,18240,54200,13419,4514,17933,10304,13616,18240,31856,2086,4411
10/16/2020,35991,18267,54258,13431,4520,17951,10315,13630,18267,31897,2086,4410
10/17/2020,35977,18259,54236,13432,4526,17958,10304,13607,18259,31866,2088,4412
10/18/2020,36074,18293,54367,13463,4532,17995,10331,13657,18293,31950,2093,4422
10/19/2020,35959,18256,54215,13404,4531,17935,10306,13620,18256,31876,2084,4404
10/20/2020,35961,18275,54236,13434,4529,17963,10306,13611,18275,31886,2076,4387
10/21/2020,35867,18218,54085,13423,4508,17931,10280,13578,18218,31796,2062,4358
10/22/2020,35944,18275,54219,13437,4522,17959,10312,13621,18275,31896,2067,4364
10/23/2020,35946,18281,54227,13403,4520,17923,10327,13643,18281,31924,2073,4380
10/24/2020,35913,18231,54144,13433,4503,17936,10301,13603,18231,31834,2070,4374
10/25/2020,35923,18244,54167,13409,4529,17938,10316,13625,18244,31869,2063,4360
10/26/2020,35988,18186,54174,13479,4530,18009,10304,13604,18186,31790,2070,4375
10/27/2020,36022,18181,54203,13505,4544,18049,10305,13602,18181,31783,2067,4371
10/28/2020,35926,18106,54032,13502,4544,18046,10270,13548,18106,31654,2047,4332
10/29/2020,35991,18093,54084,13569,4542,18111,10261,13535,18093,31628,2055,4345
10/30/2020,35983,18107,54090,13562,4523,18085,10277,13545,18107,31652,2058,4353
10/31/2020,35980,18129,54109,13536,4516,18052,10293,13569,18129,31698,2060,4359
11/01/2020,35999,18125,54124,13559,4533,18092,10285,13560,18125,31685,2055,4347
11/02/2020,36035,18112,54147,13622,4534,18156,10260,13538,18112,31650,2053,4341
11/03/2020,36037,18147,54184,13634,4525,18159,10290,13570,18147,31717,2037,4308
11/04/2020,35950,18069,54019,13588,4536,18124,10257,13522,18069,31591,2036,4304
11/05/2020,35950,18081,54031,13579,4539,18118,10262,13530,18081,31611,2035,4302
11/06/2020,35918,18054,53972,13581,4523,18104,10227,13492,18054,31546,2045,4322
11/07/2020,35889,18029,53918,13576,4523,18099,10214,13473,18029,31502,2042,4317
11/08/2020,35964,18036,54000,13632,4523,18155,10225,13484,18036,31520,2046,4325
11/09/2020,35905,18021,53926,13590,4524,18114,10224,13477,18021,31498,2043,4314
11/10/2020,35870,17972,53842,13608,4519,18127,10194,13436,17972,31408,2038,4307
11/11/2020,35933,17984,53917,13682,4543,18225,10202,13443,17984,31427,2020,4265
11/12/2020,35949,17974,53923,13682,4557,18239,10191,13423,17974,31397,2029,4287
11/13/2020,35978,18028,54006,13659,4563,18222,10213,13455,18028,31483,2035,4301
11/14/2020,35982,18061,54043,13649,4559,18208,10242,13478,18061,31539,2033,4296
11/15/2020,35973,18043,54016,13640,4557,18197,10241,13480,18043,31523,2034,4296
11/16/2020,35913,17961,53874,13647,4558,18205,10192,13418,17961,31379,2031,4290
11/17/2020,35960,17917,53877,13728,4574,18302,10176,13395,17917,31312,2017,4263
11/18/2020,36005,17958,53963,13744,4562,18306,10196,13417,17958,31375,2027,4282
11/19/2020,35975,17895,53870,13750,4574,18324,10168,13381,17895,31276,2021,4270
11/20/2020,35894,17903,53797,13673,4551,18224,10181,13391,17903,31294,2025,4279
11/21/2020,35955,17948,53903,13695,4545,18240,10211,13427,17948,31375,2030,4288
11/22/2020,35951,17974,53925,13647,4557,18204,10234,13466,17974,31440,2026,4281
11/23/2020,36023,17985,54008,13703,4550,18253,10254,13484,17985,31469,2028,4286
11/24/2020,35854,17899,53753,13668,4532,18200,10202,13411,17899,31310,2009,4243
11/25/2020,35830,17899,53729,13655,4499,18154,10205,13412,17899,31311,2017,4264
11/26/2020,35829,17914,53743,13628,4487,18115,10218,13437,17914,31351,2025,4277
11/27/2020,35817,17891,53708,13645,4510,18155,10205,13420,17891,31311,2008,4242
11/28/2020,35848,17897,53745,13664,4514,18178,10207,13421,17897,31318,2012,4249
11/29/2020,35839,17847,53686,13713,4508,18221,10181,13386,17847,31233,2003,4232
11/30/2020,35812,17780,53592,13692,4522,18214,10151,13349,17780,31129,2011,4249
12/01/2020,35754,17747,53501,13698,4516,18214,10117,13306,17747,31053,2002,4234
12/02/2020,35825,17809,53634,13700,4519,18219,10159,13363,17809,31172,2007,4243
12/03/2020,35839,17771,53610,13720,4534,18254,10142,13330,17771,31101,2015,4255
12/04/2020,35871,17805,53676,13726,4528,18254,10156,13349,17805,31154,2021,4268
12/05/2020,35907,17779,53686,13765,4554,18319,10132,13313,17779,31092,2024,4275
12/06/2020,35903,17771,53674,13760,4554,18314,10137,13316,17771,31087,2023,4273
12/07/2020,35880,17746,53626,13779,4545,18324,10113,13272,17746,31018,2028,4284
12/08/2020,35917,17781,53698,13787,4548,18335,10131,13308,17781,31089,2022,4274
12/09/2020,35953,17805,53758,13817,4558,18375,10142,13324,17805,31129,2013,4254
12/10/2020,35897,17773,53670,13783,4553,18336,10115,13296,17773,31069,2020,4265
12/11/2020,35903,17781,53684,13789,4562,18351,10115,13287,17781,31068,2020,4265
12/12/2020,35913,17781,53694,13791,4561,18352,10130,13301,17781,31082,2019,4260
12/13/2020,35984,17794,53778,13848,4570,18418,10131,13309,17794,31103,2016,4257
12/14/2020,35969,17743,53712,13865,4569,18434,10103,13282,17743,31025,2015,4253
12/15/2020,35961,17721,53682,13882,4556,18438,10093,13275,17721,30996,2012,4248
12/16/2020,35930,17674,53604,13878,4554,18432,10058,13231,17674,30905,2022,4267
12/17/2020,35991,17661,53652,13913,4558,18471,10067,13250,17661,30911,2025,4270
12/18/2020,35969,17661,53630,13875,4561,18436,10072,13266,17661,30927,2023,4267
12/19/2020,35930,17627,53557,13883,4548,18431,10055,13236,17627,30863,2021,4263
12/20/2020,36009,17656,53665,13932,4551,18483,10072,13256,17656,30912,2024,4270
12/21/2020,35872,17570,53442,13875,4549,18424,10016,13179,17570,30749,2024,4269
12/22/2020,35807,17549,53356,13856,4551,18407,10002,13157,17549,30706,2012,4243
12/23/2020,35787,17564,53351,13827,4537,18364,10022,13200,17564,30764,2003,4223
12/24/2020,35785,17600,53385,13849,4521,18370,10038,13218,17600,30818,1989,4197
12/25/2020,35839,17570,53409,13897,4521,18418,10021,13198,17570,30768,2001,4223
12/26/2020,35894,17576,53470,13931,4534,18465,10030,13211,17576,30787,1998,4218
12/27/2020,35942,17592,53534,13950,4542,18492,10039,13217,17592,30809,2004,4233
12/28/2020,35844,17505,53349,13908,4557,18465,9986,13143,17505,30648,2006,4236
12/29/2020,35789,17417,53206,13952,4562,18514,9930,13074,17417,30491,1990,4201
12/30/2020,35663,17422,53085,13850,4535,18385,9927,13077,17422,30499,1989,4201
12/31/2020,35473,17401,52874,13692,4497,18189,9916,13074,17401,30475,1995,4210
01/01/2021,35719,17427,53146,13861,4524,18385,9946,13110,17427,30537,2000,4224
01/02/2021,35690,17438,53128,13854,4507,18361,9950,13116,17438,30554,1994,4213
01/03/2021,35802,17457,53259,13925,4530,18455,9968,13144,17457,30601,1990,4203
01/04/2021,35590,17365,52955,13787,4504,18291,9908,13075,17365,30440,2000,4224
01/05/2021,35589,17316,52905,13876,4508,18384,9870,13029,17316,30345,1977,4176
01/06/2021,35585,17362,52947,13836,4522,18358,9896,13054,17362,30416,1975,4173
01/07/2021,35522,17259,52781,13859,4533,18392,9827,12955,17259,30214,1976,4175
01/08/2021,35534,17220,52754,13872,4526,18398,9817,12943,17220,30163,1984,4193
01/09/2021,35584,17261,52845,13875,4536,18411,9843,12974,17261,30235,1987,4199
01/10/2021,35668,17287,52955,13930,4548,18478,9859,12987,17287,30274,1990,4203
01/11/2021,35656,17250,52906,13943,4544,18487,9836,12965,17250,30215,1991,4204
01/12/2021,35547,17229,52776,13896,4540,18436,9809,12928,17229,30157,1980,4183
01/13/2021,35639,17256,52895,13943,4538,18481,9852,12971,17256,30227,1980,4187
01/14/2021,35503,17156,52659,13952,4552,18504,9761,12854,17156,30010,1964,4145
01/15/2021,35490,17119,52609,13919,4549,18468,9760,12865,17119,29984,1970,4157
01/16/2021,35554,17151,52705,13941,4558,18499,9791,12909,17151,30060,1966,4146
01/17/2021,35568,17160,52728,13940,4550,18490,9806,12927,17160,30087,1969,4151
01/18/2021,35631,17173,52804,13989,4558,18547,9809,12926,17173,30099,1970,4158
01/19/2021,35571,17118,52689,13974,4563,18537,9772,12880,17118,29998,1968,4154
01/20/2021,35589,17165,52754,13961,4569,18530,9799,12933,17165,30098,1957,4126
01/21/2021,35646,17207,52853,13965,4583,18548,9827,12964,17207,30171,1959,4134
01/22/2021,35642,17185,52827,13998,4571,18569,9813,12944,17185,30129,1957,4129
01/23/2021,35735,17270,53005,14036,4567,18603,9853,12997,17270,30267,1961,4135
01/24/2021,35664,17209,52873,14026,4574,18600,9818,12940,17209,30149,1955,4124
01/25/2021,35731,17192,52923,14066,4594,18660,9805,12926,17192,30118,1964,4145
01/26/2021,35659,17174,52833,14044,4583,18627,9798,12907,17174,30081,1956,4125
01/27/2021,35692,17198,52890,14020,4612,18632,9820,12941,17198,30139,1953,4119
01/28/2021,35668,17171,52839,14035,4596,18631,9802,12915,17171,30086,1954,4122
01/29/2021,35587,17147,52734,13948,4603,18551,9800,12905,17147,30052,1959,4131
01/30/2021,35563,17077,52640,13990,4595,18585,9758,12856,17077,29933,1954,4122
01/31/2021,35584,17079,52663,14010,4612,18622,9762,12856,17079,29935,1947,4106
02/01/2021,35632,17093,52725,14026,4620,18646,9774,12875,17093,29968,1949,4111
02/02/2021,35506,17075,52581,13952,4610,18562,9761,12853,17075,29928,1940,4091
02/03/2021,35467,17100,52567,13923,4590,18513,9777,12877,17100,29977,1931,4077
02/04/2021,35452,17100,52552,13883,4595,18478,9772,12883,17100,29983,1937,4091
02/05/2021,35366,17065,52431,13821,4576,18397,9759,12878,17065,29943,1938,4091
02/06/2021,35407,17064,52471,13843,4588,18431,9766,12873,17064,29937,1943,4103
02/07/2021,35410,17004,52414,13894,4592,18486,9731,12830,17004,29834,1939,4094
02/08/2021,35425,16957,52382,13937,4604,18541,9695,12778,16957,29735,1944,4106
02/09/2021,35455,17015,52470,13922,4595,18517,9738,12843,17015,29858,1938,4095
02/10/2021,35422,16985,52407,13922,4577,18499,9721,12825,16985,29810,1940,4098
02/11/2021,35366,16956,52322,13899,4573,18472,9699,12800,16956,29756,1938,4094
02/12/2021,35346,16943,52289,13909,4563,18472,9690,12789,16943,29732,1934,4085
02/13/2021,35391,16969,52360,13925,4567,18492,9709,12812,16969,29781,1935,4087
02/14/2021,35358,16959,52317,13940,4568,18508,9694,12784,16959,29743,1927,4066
02/15/2021,35323,16880,52203,13939,4578,18517,9647,12725,16880,29605,1933,4081
02/16/2021,35346,16995,52341,13861,4594,18455,9706,12805,16995,29800,1935,4086
02/17/2021,35248,16933,52181,13793,4588,18381,9689,12800,16933,29733,1925,4067
02/18/2021,35197,16929,52126,13775,4580,18355,9682,12781,16929,29710,1923,4061
02/19/2021,35269,16932,52201,13818,4576,18394,9692,12793,16932,29725,1934,4082
02/20/2021,35321,16938,52259,13868,4580,18448,9693,12797,16938,29735,1930,4076
02/21/2021,35260,16902,52162,13827,4570,18397,9670,12777,16902,29679,1935,4086
02/22/2021,35229,16908,52137,13816,4557,18373,9677,12780,16908,29688,1930,4076
02/23/2021,35249,16885,52134,13839,4564,18403,9660,12757,16885,29642,1937,4089
02/24/2021,35174,16824,51998,13859,4545,18404,9607,12692,16824,29516,1933,4078
02/25/2021,35182,16811,51993,13886,4541,18427,9606,12689,16811,29500,1926,4066
02/26/2021,35155,16828,51983,13861,4546,18407,9621,12705,16828,29533,1916,4043
02/27/2021,35165,16807,51972,13882,4556,18438,9612,12685,16807,29492,1914,4042
02/28/2021,35221,16794,52015,13918,4559,18477,9613,12693,16794,29487,1919,4051
03/01/2021,35195,16746,51941,13936,4543,18479,9593,12662,16746,29408,1920,4054
03/02/2021,35202,16746,51948,13962,4526,18488,9590,12658,16746,29404,1922,4056
03/03/2021,35108,16720,51828,13931,4503,18434,9579,12638,16720,29358,1913,4036
03/04/2021,35176,16720,51896,13989,4526,18515,9578,12626,16720,29346,1911,4035
03/05/2021,35103,16766,51869,13939,4485,18424,9598,12647,16766,29413,1908,4032
03/06/2021,35146,16794,51940,13955,4493,18448,9612,12678,16794,29472,1903,4020
03/07/2021,35232,16809,52041,14008,4505,18513,9624,12700,16809,29509,1903,4019
03/08/2021,35161,16720,51881,14011,4495,18506,9571,12639,16720,29359,1901,4016
03/09/2021,35052,16608,51660,13978,4509,18487,9508,12553,16608,29161,1898,4012
03/10/2021,35068,16617,51685,13998,4519,18517,9514,12556,16617,29173,1890,3995
03/11/2021,35087,16618,51705,14009,4530,18539,9531,12568,16618,29186,1883,3980
03/12/2021,34889,16550,51439,13939,4501,18440,9476,12489,16550,29039,1873,3960
03/13/2021,34900,16582,51482,13932,4508,18440,9491,12507,16582,29089,1869,3953
03/14/2021,34930,16546,51476,13954,4536,18490,9472,12490,16546,29036,1867,3950
03/15/2021,34926,16527,51453,13950,4532,18482,9462,12476,16527,29003,1875,3968
03/16/2021,34987,16484,51471,14031,4538,18569,9440,12452,16484,28936,1874,3966
03/17/2021,34879,16485,51364,13928,4526,18454,9434,12449,16485,28934,1878,3976
03/18/2021,34913,16498,51411,13948,4533,18481,9438,12454,16498,28952,1882,3978
03/19/2021,34852,16487,51339,13922,4504,18426,9430,12448,16487,28935,1885,3978
03/20/2021,34783,16467,51250,13877,4505,18382,9420,12432,16467,28899,1879,3969
03/21/2021,34810,16491,51301,13900,4509,18409,9440,12454,16491,28945,1869,3947
03/22/2021,34747,16422,51169,13911,4507,18418,9398,12391,16422,28813,1865,3938
03/23/2021,34683,16368,51051,13891,4504,18395,9375,12350,16368,28718,1864,3938
03/24/2021,34742,16342,51084,13928,4511,18439,9360,12338,16342,28680,1877,3965
03/25/2021,34693,16311,51004,13879,4517,18396,9352,12329,16311,28640,1879,3968
03/26/2021,34504,16261,50765,13790,4477,18267,9331,12295,16261,28556,1867,3942
03/27/2021,34511,16269,50780,13790,4459,18249,9340,12321,16269,28590,1868,3941
03/28/2021,34617,16267,50884,13869,4480,18349,9343,12329,16267,28596,1865,3939
03/29/2021,34600,16214,50814,13886,4484,18370,9313,12284,16214,28498,1868,3946
03/30/2021,34525,16227,50752,13820,4468,18288,9319,12303,16227,28530,1861,3934
03/31/2021,34542,16169,50711,13855,4467,18322,9300,12280,16169,28449,1863,3940
04/01/2021,34471,16178,50649,13816,4447,18263,9292,12266,16178,28444,1865,3942
04/02/2021,34420,16180,50600,13772,4444,18216,9285,12257,16180,28437,1867,3947
04/03/2021,34334,16161,50495,13732,4409,18141,9280,12247,16161,28408,1866,3946
04/04/2021,34419,16187,50606,13812,4406,18218,9299,12273,16187,28460,1859,3928
04/05/2021,34361,16145,50506,13781,4418,18199,9257,12217,16145,28362,1867,3945
04/06/2021,34225,16044,50269,13750,4404,18154,9205,12144,16044,28188,1859,3927
04/07/2021,34175,16031,50206,13729,4378,18107,9208,12153,16031,28184,1856,3915
04/08/2021,34140,16049,50189,13683,4380,18063,9220,12161,16049,28210,1856,3916
04/09/2021,34141,16015,50156,13713,4387,18100,9206,12142,16015,28157,1849,3899
04/10/2021,34106,16053,50159,13688,4358,18046,9218,12160,16053,28213,1849,3900
04/11/2021,34286,16050,50336,13820,4405,18225,9210,12155,16050,28205,1852,3906
04/12/2021,34225,15987,50212,13792,4418,18210,9184,12111,15987,28098,1854,3904
04/13/2021,34123,15992,50115,13727,4403,18130,9185,12111,15992,28103,1843,3882
04/14/2021,34077,16017,50094,13690,4391,18081,9197,12125,16017,28142,1839,3871
04/15/2021,34129,16003,50132,13738,4400,18138,9197,12118,16003,28121,1840,3873
04/16/2021,34110,15986,50096,13732,4394,18126,9191,12102,15986,28088,1843,3882
04/17/2021,34032,15947,49979,13699,4391,18090,9167,12065,15947,28012,1840,3877
04/18/2021,34028,15924,49952,13724,4375,18099,9150,12052,15924,27976,1840,3877
04/19/2021,33956,15911,49867,13657,4391,18048,9140,12029,15911,27940,1841,3879
04/20/2021,33857,15819,49676,13649,4361,18010,9095,11965,15819,27784,1843,3882
04/21/2021,33969,15883,49852,13733,4374,18107,9112,11996,15883,27879,1835,3866
04/22/2021,33956,15869,49825,13729,4371,18100,9106,11996,15869,27865,1832,3860
04/23/2021,33871,15875,49746,13628,4367,17995,9108,12009,15875,27884,1836,3867
04/24/2021,33869,15847,49716,13648,4359,18007,9106,12001,15847,27848,1835,3861
04/25/2021,33874,15822,49696,13694,4351,18045,9095,11977,15822,27799,1831,3852
04/26/2021,33850,15796,49646,13714,4344,18058,9075,11957,15796,27753,1821,3835
04/27/2021,33733,15789,49522,13605,4353,17958,9076,11950,15789,27739,1816,3825
04/28/2021,33771,15788,49559,13625,4355,17980,9080,11959,15788,27747,1821,3832
04/29/2021,33721,15735,49456,13625,4341,17966,9061,11936,15735,27671,1814,3819
04/30/2021,33622,15716,49338,13540,4321,17861,9054,11942,15716,27658,1815,3819
05/01/2021,33548,15711,49259,13506,4308,17814,9042,11921,15711,27632,1812,3813
05/02/2021,33533,15688,49221,13505,4308,17813,9026,11900,15688,27588,1816,3820
05/03/2021,33599,15609,49208,13582,4347,17929,9000,11851,15609,27460,1816,3819
05/04/2021,33564,15631,49195,13557,4352,17909,8997,11850,15631,27481,1811,3805
05/05/2021,33638,15629,49267,13606,4382,17988,9039,11858,15629,27487,1804,3792
05/06/2021,33560,15587,49147,13551,4389,17940,8985,11828,15587,27415,1803,3792
05/07/2021,33511,15606,49117,13490,4377,17867,8999,11844,15606,27450,1807,3800
05/08/2021,33466,15630,49096,13479,4360,17839,8994,11833,15630,27463,1804,3794
05/09/2021,33565,15619,49184,13614,4346,17960,8981,11814,15619,27433,1802,3791
05/10/2021,33430,15504,48934,13565,4361,17926,8920,11728,15504,27232,1795,3776
05/11/2021,33350,15458,48808,13537,4360,17897,8894,11700,15458,27158,1784,3753
05/12/2021,33309,15476,48785,13492,4352,17844,8916,11727,15476,27203,1778,3738
05/13/2021,33293,15515,48808,13474,4347,17821,8930,11730,15515,27245,1780,3742
05/14/2021,33266,15496,48762,13460,4336,17796,8934,11726,15496,27222,1781,3744
05/15/2021,33246,15536,48782,13427,4318,17745,8957,11758,15536,27294,1780,3743
05/16/2021,33241,15515,48756,13451,4326,17777,8937,11731,15515,27246,1775,3733
05/17/2021,33191,15456,48647,13429,4337,17766,8908,11686,15456,27142,1778,3739
05/18/2021,33074,15418,48492,13365,4325,17690,8905,11676,15418,27094,1763,3708
05/19/2021,33026,15346,48372,13396,4311,17707,8867,11618,15346,26964,1760,3701
05/20/2021,33012,15376,48388,13355,4328,17683,8875,11641,15376,27017,1754,3688
05/21/2021,32919,15375,48294,13285,4305,17590,8865,11621,15375,26996,1764,3708
05/22/2021,32877,15378,48255,13275,4294,17569,8859,11615,15378,26993,1757,3693
05/23/2021,32894,15341,48235,13343,4283,17626,8831,11587,15341,26928,1751,3681
05/24/2021,32944,15330,48274,13376,4310,17686,8824,11559,15330,26889,1760,3699
05/25/2021,32876,15312,48188,13333,4299,17632,8833,11570,15312,26882,1748,3674
05/26/2021,32873,15326,48199,13339,4297,17636,8838,11581,15326,26907,1740,3656
05/27/2021,32868,15372,48240,13312,4289,17601,8845,11592,15372,26964,1750,3675
05/28/2021,32888,15365,48253,13320,4305,17625,8852,11599,15365,26964,1744,3664
05/29/2021,32944,15347,48291,13377,4307,17684,8858,11607,15347,26954,1738,3653
05/30/2021,32968,15362,48330,13386,4285,17671,8879,11634,15362,26996,1743,3663
05/31/2021,32887,15341,48228,13317,4266,17583,8872,11629,15341,26970,1748,3675
06/01/2021,32826,15267,48093,13294,4280,17574,8835,11583,15267,26850,1744,3669
06/02/2021,32705,15256,47961,13216,4271,17487,8821,11563,15256,26819,1737,3655
06/03/2021,32801,15307,48108,13279,4272,17551,8842,11594,15307,26901,1738,3656
06/04/2021,32714,15270,47984,13213,4263,17476,8819,11571,15270,26841,1744,3667
06/05/2021,32613,15279,47892,13145,4242,17387,8830,11580,15279,26859,1733,3646
06/06/2021,32679,15298,47977,13196,4241,17437,8847,11600,15298,26898,1731,3642
06/07/2021,32704,15238,47942,13235,4261,17496,8800,11535,15238,26773,1746,3673
06/08/2021,32680,15239,47919,13246,4234,17480,8798,11546,15239,26785,1737,3654
06/09/2021,32597,15201,47798,13190,4241,17431,8776,11515,15201,26716,1735,3651
06/10/2021,32659,15288,47947,13202,4245,17447,8817,11566,15288,26854,1732,3646
06/11/2021,32623,15265,47888,13174,4248,17422,8808,11542,15265,26807,1740,3659
06/12/2021,32620,15253,47873,13195,4234,17429,8802,11545,15253,26798,1735,3646
06/13/2021,32652,15245,47897,13208,4263,17471,8800,11534,15245,26779,1736,3647
06/14/2021,32634,15195,47829,13241,4272,17513,8762,11467,15195,26662,1739,3654
06/15/2021,32573,15173,47746,13199,4263,17462,8759,11459,15173,26632,1738,3652
06/16/2021,32593,15169,47762,13204,4268,17472,8768,11473,15169,26642,1737,3648
06/17/2021,32493,15165,47658,13165,4242,17407,8755,11453,15165,26618,1728,3633
06/18/2021,32563,15192,47755,13214,4241,17455,8777,11486,15192,26678,1722,3622
06/19/2021,32486,15181,47667,13145,4238,17383,8775,11480,15181,26661,1722,3623
06/20/2021,32473,15171,47644,13125,4253,17378,8767,11471,15171,26642,1723,3624
06/21/2021,32445,15076,47521,13150,4262,17412,8704,11396,15076,26472,1728,3637
06/22/2021,32500,15109,47609,13158,4282,17440,8721,11417,15109,26526,1731,3643
06/23/2021,32335,15079,47414,13025,4272,17297,8703,11389,15079,26468,1733,3649
06/24/2021,32296,15082,47378,12954,4293,17247,8709,11399,15082,26481,1734,3650
06/25/2021,32188,15079,47267,12878,4272,17150,8709,11400,15079,26479,1729,3638
06/26/2021,32103,15101,47204,12831,4231,17062,8716,11412,15101,26513,1725,3629
