Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
06/27/2021,32052,15062,47114,12826,4214,17040,8685,11377,15062,26439,1728,3635
06/28/2021,32039,15037,47076,12805,4232,17037,8658,11351,15037,26388,1733,3651
06/29/2021,32023,15090,47113,12772,4215,16987,8691,11390,15090,26480,1730,3646
06/30/2021,31987,15058,47045,12752,4229,16981,8674,11361,15058,26419,1730,3645
07/01/2021,31326,14563,45889,12601,4212,16813,8327,10952,14563,25515,1690,3561
07/02/2021,31171,14519,45690,12479,4219,16698,8303,10910,14519,25429,1691,3563
07/03/2021,31049,14545,45594,12356,4195,16551,8324,10948,14545,25493,1685,3550
07/04/2021,30948,14563,45511,12221,4190,16411,8333,10964,14563,25527,1696,3573
07/05/2021,31033,14528,45561,12293,4231,16524,8314,10942,14528,25470,1693,3567
07/06/2021,31146,14549,45695,12386,4232,16618,8324,10963,14549,25512,1693,3565
07/07/2021,31012,14536,45548,12358,4184,16542,8303,10930,14536,25466,1681,3540
07/08/2021,31065,14500,45565,12438,4200,16638,8278,10904,14500,25404,1672,3523
07/09/2021,30943,14526,45469,12273,4207,16480,8291,10920,14526,25446,1682,3543
07/10/2021,30980,14525,45505,12299,4192,16491,8290,10934,14525,25459,1688,3555
07/11/2021,31026,14538,45564,12321,4190,16511,8307,10946,14538,25484,1695,3569
07/12/2021,31116,14538,45654,12414,4210,16624,8282,10930,14538,25468,1691,3562
07/13/2021,31058,14539,45597,12407,4176,16583,8282,10936,14539,25475,1680,3539
07/14/2021,31034,14490,45524,12425,4158,16583,8269,10907,14490,25397,1681,3544
07/15/2021,30993,14528,45521,12403,4129,16532,8305,10936,14528,25464,1673,3525
07/16/2021,30943,14545,45488,12386,4117,16503,8310,10939,14545,25484,1664,3501
07/17/2021,30954,14561,45515,12364,4115,16479,8325,10966,14561,25527,1666,3509
07/18/2021,30986,14550,45536,12396,4122,16518,8316,10951,14550,25501,1670,3517
07/19/2021,30906,14453,45359,12367,4115,16482,8273,10903,14453,25356,1672,3521
07/20/2021,30880,14435,45315,12349,4111,16460,8262,10890,14435,25325,1677,3530
07/21/2021,30823,14435,45258,12358,4100,16458,8257,10887,14435,25322,1653,3478
07/22/2021,30776,14429,45205,12310,4092,16402,8260,10895,14429,25324,1654,3479
07/23/2021,30678,14460,45138,12242,4084,16326,8287,10918,14460,25378,1632,3434
07/24/2021,30745,14497,45242,12270,4071,16341,8318,10958,14497,25455,1638,3446
07/25/2021,30798,14491,45289,12317,4086,16403,8306,10948,14491,25439,1639,3447
07/26/2021,30705,14443,45148,12338,4026,16364,8267,10886,14443,25329,1643,3455
07/27/2021,30552,14448,45000,12307,3923,16230,8271,10894,14448,25342,1630,3428
07/28/2021,30409,14454,44863,12267,3801,16068,8282,10901,14454,25355,1636,3440
07/29/2021,30691,14482,45173,12319,3989,16308,8299,10935,14482,25417,1640,3448
07/30/2021,30618,14483,45101,12248,3977,16225,8296,10930,14483,25413,1648,3463
07/31/2021,30443,14305,44748,12252,3982,16234,8192,10785,14305,25090,1630,3424
08/01/2021,30312,14274,44586,12215,3896,16111,8180,10765,14274,25039,1636,3436
08/02/2021,30452,14286,44738,12268,3975,16243,8181,10759,14286,25045,1644,3450
08/03/2021,30455,14389,44844,12220,3987,16207,8233,10824,14389,25213,1632,3424
08/04/2021,30601,14484,45085,12254,4004,16258,8292,10907,14484,25391,1638,3436
08/05/2021,30606,14507,45113,12240,4005,16245,8309,10935,14507,25442,1633,3426
08/06/2021,30553,14481,45034,12195,3994,16189,8302,10936,14481,25417,1634,3428
08/07/2021,30547,14473,45020,12192,4009,16201,8295,10924,14473,25397,1632,3422
08/08/2021,30695,14491,45186,12278,4021,16299,8309,10943,14491,25434,1646,3453
08/09/2021,30779,14486,45265,12318,4040,16358,8312,10955,14486,25441,1652,3466
08/10/2021,30813,14541,45354,12308,4067,16375,8335,10986,14541,25527,1645,3452
08/11/2021,30764,14527,45291,12295,4045,16340,8317,10965,14527,25492,1647,3459
08/12/2021,30708,14499,45207,12268,4057,16325,8304,10948,14499,25447,1635,3435
08/13/2021,30701,14512,45213,12251,4037,16288,8328,10970,14512,25482,1639,3443
08/14/2021,30684,14504,45188,12268,4024,16292,8330,10966,14504,25470,1630,3426
08/15/2021,30680,14522,45202,12229,4028,16257,8342,10983,14522,25505,1637,3440
08/16/2021,30740,14522,45262,12254,4048,16302,8347,10995,14522,25517,1639,3443
08/17/2021,30661,14542,45203,12211,4029,16240,8362,11015,14542,25557,1621,3406
08/18/2021,30551,14375,44926,12258,4047,16305,8259,10864,14375,25239,1609,3382
08/19/2021,30577,14382,44959,12289,4030,16319,8268,10879,14382,25261,1608,3379
08/20/2021,30523,14404,44927,12242,4025,16267,8278,10885,14404,25289,1605,3371
08/21/2021,30548,14433,44981,12259,4009,16268,8307,10924,14433,25357,1598,3356
08/22/2021,30658,14472,45130,12326,4026,16352,8330,10948,14472,25420,1599,3358
08/23/2021,30658,14474,45132,12303,4021,16324,8335,10947,14474,25421,1614,3387
08/24/2021,30529,14480,45009,12237,4010,16247,8326,10927,14480,25407,1598,3355
08/25/2021,30449,14433,44882,12217,3988,16205,8299,10885,14433,25318,1601,3359
08/26/2021,30444,14392,44836,12230,4012,16242,8272,10860,14392,25252,1592,3342
08/27/2021,30366,14420,44786,12156,3992,16148,8289,10892,14420,25312,1585,3326
08/28/2021,30368,14458,44826,12125,4003,16128,8315,10915,14458,25373,1585,3325
08/29/2021,30424,14480,44904,12152,4010,16162,8321,10931,14480,25411,1588,3331
08/30/2021,30439,14446,44885,12176,4007,16183,8302,10898,14446,25344,1601,3358
08/31/2021,30342,14425,44767,12131,4003,16134,8293,10870,14425,25295,1591,3338
09/01/2021,30383,14456,44839,12148,3993,16141,8313,10897,14456,25353,1595,3345
09/02/2021,30363,14475,44838,12145,3970,16115,8314,10919,14475,25394,1588,3329
09/03/2021,30359,14509,44868,12086,3981,16067,8329,10952,14509,25461,1594,3340
09/04/2021,30325,14570,44895,12013,3972,15985,8371,11007,14570,25577,1591,3333
09/05/2021,30404,14604,45008,12043,3981,16024,8388,11024,14604,25628,1601,3356
09/06/2021,30334,14536,44870,12029,3970,15999,8354,10979,14536,25515,1601,3356
09/07/2021,30532,14586,45118,12160,3999,16159,8378,11015,14586,25601,1602,3358
09/08/2021,30415,14585,45000,12083,3996,16079,8374,11006,14585,25591,1587,3330
09/09/2021,30515,14616,45131,12172,4016,16188,8387,11021,14616,25637,1576,3306
09/10/2021,30426,14617,45043,12087,3992,16079,8400,11039,14617,25656,1577,3308
09/11/2021,30370,14659,45029,12008,3988,15996,8416,11063,14659,25722,1579,3311
09/12/2021,30438,14650,45088,12069,3999,16068,8411,11053,14650,25703,1582,3317
09/13/2021,30420,14572,44992,12111,4005,16116,8341,10965,14572,25537,1593,3339
09/14/2021,30474,14581,45055,12145,4030,16175,8353,10983,14581,25564,1582,3316
09/15/2021,30485,14617,45102,12149,4034,16183,8378,11007,14617,25624,1573,3295
09/16/2021,30510,14623,45133,12164,4032,16196,8378,11012,14623,25635,1576,3302
09/17/2021,30476,14641,45117,12109,4015,16124,8400,11044,14641,25685,1579,3308
09/18/2021,30487,14654,45141,12074,4032,16106,8415,11073,14654,25727,1579,3308
09/19/2021,30598,14707,45305,12124,4038,16162,8452,11116,14707,25823,1585,3320
09/20/2021,30611,14653,45264,12161,4064,16225,8412,11053,14653,25706,1592,3333
09/21/2021,30670,14732,45402,12186,4059,16245,8460,11109,14732,25841,1585,3316
09/22/2021,30596,14616,45212,12214,4076,16290,8383,11013,14616,25629,1573,3293
09/23/2021,30645,14656,45301,12253,4090,16343,8406,11031,14656,25687,1562,3271
09/24/2021,30599,14721,45320,12161,4073,16234,8436,11082,14721,25803,1568,3283
09/25/2021,30683,14760,45443,12180,4082,16262,8466,11125,14760,25885,1573,3296
09/26/2021,30764,14750,45514,12261,4079,16340,8471,11125,14750,25875,1575,3299
09/27/2021,30827,14789,45616,12272,4076,16348,8495,11161,14789,25950,1585,3318
09/28/2021,30803,14741,45544,12312,4080,16392,8478,11126,14741,25867,1569,3285
09/29/2021,30801,14812,45613,12291,4061,16352,8503,11156,14812,25968,1570,3293
09/30/2021,30826,14798,45624,12286,4100,16386,8500,11157,14798,25955,1565,3283
10/01/2021,30769,14815,45584,12199,4090,16289,8513,11177,14815,25992,1575,3303
10/02/2021,30648,14833,45481,12105,4067,16172,8532,11207,14833,26040,1558,3269
10/03/2021,30818,14863,45681,12210,4088,16298,8545,11228,14863,26091,1569,3292
10/04/2021,30903,14797,45700,12321,4109,16430,8516,11189,14797,25986,1565,3284
10/05/2021,30943,14839,45782,12349,4090,16439,8540,11212,14839,26051,1569,3292
10/06/2021,30941,14817,45758,12359,4085,16444,8537,11212,14817,26029,1566,3285
10/07/2021,30919,14847,45766,12315,4078,16393,8539,11222,14847,26069,1577,3304
10/08/2021,30928,14923,45851,12296,4073,16369,8586,11275,14923,26198,1566,3284
10/09/2021,30963,14947,45910,12279,4073,16352,8603,11302,14947,26249,1578,3309
10/10/2021,31010,14907,45917,12326,4098,16424,8585,11272,14907,26179,1581,3314
10/11/2021,31049,14851,45900,12417,4099,16516,8547,11217,14851,26068,1580,3316
10/12/2021,31029,14857,45886,12374,4115,16489,8554,11221,14857,26078,1581,3319
10/13/2021,31159,14955,46114,12420,4123,16543,8614,11296,14955,26251,1581,3320
10/14/2021,31068,14911,45979,12373,4101,16474,8590,11270,14911,26181,1584,3324
10/15/2021,30984,14938,45922,12312,4084,16396,8604,11273,14938,26211,1580,3315
10/16/2021,30938,14972,45910,12295,4075,16370,8615,11288,14972,26260,1563,3280
10/17/2021,31088,14949,46037,12406,4081,16487,8613,11287,14949,26236,1580,3314
10/18/2021,31085,14900,45985,12410,4108,16518,8592,11260,14900,26160,1577,3307
10/19/2021,31120,14906,46026,12453,4120,16573,8585,11248,14906,26154,1575,3299
10/20/2021,31087,14930,46017,12379,4135,16514,8604,11275,14930,26205,1575,3298
10/21/2021,31102,14937,46039,12365,4148,16513,8611,11285,14937,26222,1577,3304
10/21/2021,31102,14937,46039,12365,4148,16513,8611,11285,14937,26222,1577,3304
10/22/2021,31052,14961,46013,12322,4117,16439,8624,11306,14961,26267,1578,3307
10/23/2021,31100,14976,46076,12346,4113,16459,8639,11319,14976,26295,1584,3322
10/24/2021,31200,14973,46173,12451,4126,16577,8640,11319,14973,26292,1576,3304
10/25/2021,31042,14865,45907,12461,4032,16493,8578,11237,14865,26102,1579,3312
10/26/2021,31123,14886,46009,12458,4160,16618,8579,11237,14886,26123,1559,3268
10/27/2021,31090,14921,46011,12425,4141,16566,8599,11260,14921,26181,1559,3264
10/28/2021,31220,14927,46147,12500,4179,16679,8599,11256,14927,26183,1567,3285
10/29/2021,31187,14931,46118,12478,4151,16629,8616,11284,14931,26215,1562,3274
10/30/2021,31111,14893,46004,12455,4127,16582,8596,11259,14893,26152,1560,3270
10/31/2021,31023,14887,45910,12386,4113,16499,8591,11257,14887,26144,1559,3267
11/01/2021,31094,14822,45916,12476,4147,16623,8541,11196,14822,26018,1563,3275
11/02/2021,31127,14852,45979,12490,4161,16651,8559,11218,14852,26070,1555,3258
11/03/2021,31190,14840,46030,12553,4175,16728,8562,11220,14840,26060,1547,3242
11/04/2021,31285,14903,46188,12641,4172,16813,8582,11243,14903,26146,1541,3229
11/05/2021,31194,14922,46116,12539,4164,16703,8592,11254,14922,26176,1544,3237
11/06/2021,31050,14898,45948,12486,4117,16603,8558,11202,14898,26100,1549,3245
11/08/2021,31118,14809,45927,12538,4148,16686,8524,11162,14809,25971,1563,3270
11/09/2021,31036,14756,45792,12544,4150,16694,8493,11125,14756,25881,1537,3217
11/10/2021,31037,14806,45843,12502,4143,16645,8523,11165,14806,25971,1540,3227
11/11/2021,31107,14812,45919,12537,4164,16701,8537,11186,14812,25998,1536,3220
11/12/2021,31038,14783,45821,12492,4148,16640,8539,11182,14783,25965,1534,3216
11/13/2021,31085,14860,45945,12498,4129,16627,8569,11235,14860,26095,1538,3223
11/14/2021,31155,14812,45967,12575,4152,16727,8541,11195,14812,26007,1543,3233
11/15/2021,31176,14761,45937,12622,4151,16773,8521,11174,14761,25935,1541,3229
11/16/2021,31119,14769,45888,12597,4152,16749,8523,11168,14769,25937,1528,3202
11/17/2021,31179,14804,45983,12604,4181,16785,8554,11202,14804,26006,1523,3192
11/18/2021,31101,14781,45882,12577,4155,16732,8545,11196,14781,25977,1514,3173
11/19/2021,31010,14795,45805,12546,4130,16676,8545,11198,14795,25993,1496,3136
11/20/2021,31053,14775,45828,12565,4131,16696,8547,11208,14775,25983,1503,3149
11/21/2021,31028,14728,45756,12577,4132,16709,8511,11153,14728,25881,1511,3166
11/22/2021,31069,14769,45838,12560,4165,16725,8528,11182,14769,25951,1509,3162
11/22/2021,31069,14769,45838,12560,4165,16725,8528,11182,14769,25951,1509,3162
11/23/2021,31043,14691,45734,12610,4163,16773,8481,11132,14691,25823,1497,3138
11/24/2021,31001,14745,45746,12551,4133,16684,8513,11172,14745,25917,1502,3145
11/25/2021,30946,14788,45734,12452,4105,16557,8544,11222,14788,26010,1512,3167
11/26/2021,30919,14790,45709,12420,4122,16542,8550,11228,14790,26018,1503,3149
11/27/2021,30978,14726,45704,12527,4122,16649,8514,11181,14726,25907,1503,3148
11/28/2021,31022,14714,45736,12563,4132,16695,8500,11157,14714,25871,1514,3170
11/29/2021,31120,14713,45833,12616,4169,16785,8494,11166,14713,25879,1513,3169
11/30/2021,31110,14727,45837,12617,4182,16799,8498,11169,14727,25896,1501,3142
12/01/2021,31063,14760,45823,12583,4154,16737,8498,11166,14760,25926,1509,3160
12/02/2021,30944,14727,45671,12510,4150,16660,8496,11160,14727,25887,1491,3124
12/03/2021,30872,14725,45597,12449,4140,16589,8484,11152,14725,25877,1495,3131
12/04/2021,30901,14787,45688,12459,4120,16579,8512,11190,14787,25977,1495,3132
12/05/2021,30943,14802,45745,12466,4137,16603,8516,11198,14802,26000,1500,3142
12/06/2021,30991,14787,45778,12534,4146,16680,8498,11164,14787,25951,1502,3147
12/07/2021,31007,14773,45780,12545,4169,16714,8500,11168,14773,25941,1491,3125
12/08/2021,31054,14782,45836,12595,4157,16752,8507,11177,14782,25959,1491,3125
12/09/2021,31015,14816,45831,12536,4156,16692,8529,11207,14816,26023,1486,3116
12/10/2021,30991,14908,45899,12456,4125,16581,8581,11274,14908,26182,1496,3136
12/11/2021,30910,14855,45765,12445,4094,16539,8560,11254,14855,26109,1487,3117
12/12/2021,31071,14855,45926,12556,4131,16687,8559,11247,14855,26102,1497,3137
12/13/2021,31084,14861,45945,12546,4153,16699,8553,11248,14861,26109,1497,3137
12/14/2021,31040,14830,45870,12558,4150,16708,8547,11232,14830,26062,1480,3100
12/15/2021,30949,14735,45684,12558,4138,16696,8501,11170,14735,25905,1472,3083
12/16/2021,30965,14756,45721,12566,4112,16678,8513,11191,14756,25947,1478,3096
12/17/2021,30839,14773,45612,12450,4083,16533,8526,11217,14773,25990,1476,3089
12/18/2021,30853,14772,45625,12482,4086,16568,8520,11214,14772,25986,1467,3071
12/19/2021,30926,14737,45663,12561,4090,16651,8511,11201,14737,25938,1467,3074
12/20/2021,30931,14665,45596,12561,4127,16688,8463,11140,14665,25805,1481,3103
12/23/2021,30897,14674,45571,12534,4133,16667,8467,11152,14674,25826,1470,3078
12/24/2021,30741,14658,45399,12410,4112,16522,8460,11152,14658,25810,1465,3067
12/25/2021,30696,14705,45401,12368,4064,16432,8482,11187,14705,25892,1470,3077
12/26/2021,30786,14659,45445,12504,4070,16574,8460,11161,14659,25820,1457,3051
12/27/2021,30788,14576,45364,12536,4079,16615,8413,11106,14576,25682,1465,3067
12/28/2021,30665,14574,45239,12481,4098,16579,8384,11056,14574,25630,1447,3030
12/29/2021,30687,14612,45299,12497,4062,16559,8413,11102,14612,25714,1445,3026
12/30/2021,30644,14601,45245,12444,4057,16501,8417,11112,14601,25713,1449,3031
12/31/2021,30400,14596,44996,12269,3978,16247,8430,11126,14596,25722,1447,3027
01/01/2022,30554,14659,45213,12354,3993,16347,8455,11166,14659,25825,1453,3041
01/02/2022,30622,14663,45285,12397,4037,16434,8459,11172,14663,25835,1441,3016
01/03/2022,30674,14589,45263,12488,4035,16523,8421,11120,14589,25709,1448,3031
01/04/2022,30630,14508,45138,12526,4039,16565,8380,11042,14508,25550,1445,3023
01/05/2022,30670,14581,45251,12498,4043,16541,8416,11087,14581,25668,1455,3042
01/06/2022,30682,14613,45295,12488,4032,16520,8435,11129,14613,25742,1451,3033
01/07/2022,30684,14654,45338,12459,4036,16495,8463,11173,14654,25827,1443,3016
01/08/2022,30689,14622,45311,12510,4030,16540,8455,11146,14622,25768,1437,3003
01/09/2022,30682,14596,45278,12483,4063,16546,8434,11121,14596,25717,1443,3015
01/10/2022,30685,14558,45243,12520,4058,16578,8417,11098,14558,25656,1440,3009
01/11/2022,30739,14602,45341,12563,4040,16603,8437,11123,14602,25725,1442,3013
01/13/2022,30714,14621,45335,12514,4043,16557,8456,11151,14621,25772,1437,3006
01/13/2022,30714,14621,45335,12514,4043,16557,8456,11151,14621,25772,1437,3006
01/14/2022,30733,14559,45292,12533,4078,16611,8421,11109,14559,25668,1440,3013
01/15/2022,30755,14573,45328,12544,4076,16620,8438,11132,14573,25705,1435,3003
01/16/2022,30740,14588,45328,12512,4068,16580,8447,11147,14588,25735,1440,3013
01/17/2022,30820,14609,45429,12571,4070,16641,8460,11161,14609,25770,1443,3018
01/18/2022,30853,14597,45450,12616,4079,16695,8455,11162,14597,25759,1434,2996
01/19/2022,30715,14548,45263,12571,4055,16626,8418,11116,14548,25664,1423,2973
01/20/2022,30811,14590,45401,12619,4070,16689,8446,11143,14590,25733,1428,2979
01/21/2022,30738,14554,45292,12571,4082,16653,8414,11111,14554,25665,1425,2974
01/22/2022,30810,14586,45396,12625,4067,16692,8440,11140,14586,25726,1427,2978
01/23/2022,30749,14597,45346,12570,4042,16612,8445,11144,14597,25741,1435,2993
01/24/2022,30857,14641,45498,12624,4066,16690,8465,11169,14641,25810,1437,2998
01/25/2022,30802,14565,45367,12626,4074,16700,8426,11124,14565,25689,1428,2978
01/26/2022,30844,14592,45436,12678,4052,16730,8431,11139,14592,25731,1427,2975
01/27/2022,30872,14648,45520,12656,4040,16696,8480,11193,14648,25841,1431,2983
01/28/2022,30845,14670,45515,12618,4045,16663,8487,11213,14670,25883,1424,2969
01/29/2022,30826,14637,45463,12635,4020,16655,8474,11199,14637,25836,1425,2972
01/30/2022,30771,14595,45366,12614,4014,16628,8440,11155,14595,25750,1433,2988
01/31/2022,30733,14583,45316,12533,4046,16579,8442,11147,14583,25730,1442,3007
02/01/2022,30700,14506,45206,12565,4037,16602,8409,11101,14506,25607,1436,2997
02/02/2022,30678,14586,45264,12553,3985,16538,8448,11157,14586,25743,1428,2983
02/03/2022,30635,14591,45226,12490,3981,16471,8458,11162,14591,25753,1437,3002
02/04/2022,30622,14592,45214,12503,3972,16475,8450,11151,14592,25743,1433,2996
02/05/2022,30584,14608,45192,12500,3929,16429,8455,11162,14608,25770,1432,2993
02/06/2022,30772,14634,45406,12608,3968,16576,8465,11181,14634,25815,1443,3015
02/07/2022,30660,14533,45193,12592,3959,16551,8406,11108,14533,25641,1436,3001
02/08/2022,30630,14532,45162,12561,3991,16552,8401,11092,14532,25624,1428,2986
02/09/2022,30695,14578,45273,12555,4012,16567,8424,11124,14578,25702,1437,3004
02/10/2022,30612,14476,45088,12565,4008,16573,8371,11042,14476,25518,1432,2997
02/11/2022,30524,14530,45054,12439,4007,16446,8408,11089,14530,25619,1427,2989
02/12/2022,30586,14558,45144,12472,3984,16456,8415,11115,14558,25673,1440,3015
02/13/2022,30734,14576,45310,12564,4016,16580,8432,11137,14576,25713,1441,3017
02/14/2022,30774,14521,45295,12607,4021,16628,8400,11095,14521,25616,1458,3051
02/15/2022,30718,14429,45147,12642,4032,16674,8338,11025,14429,25454,1443,3019
02/16/2022,30722,14462,45184,12625,4037,16662,8359,11055,14462,25517,1437,3005
02/17/2022,30706,14518,45224,12604,4015,16619,8387,11091,14518,25609,1431,2996
02/17/2022,30706,14518,45224,12604,4015,16619,8387,11091,14518,25609,1431,2996
02/18/2022,30640,14517,45157,12554,4003,16557,8401,11098,14517,25615,1426,2985
02/19/2022,30632,14557,45189,12519,3998,16517,8425,11132,14557,25689,1425,2983
02/20/2022,30712,14510,45222,12624,4005,16629,8386,11085,14510,25595,1432,2998
02/21/2022,30793,14531,45324,12649,4035,16684,8393,11101,14531,25632,1437,3008
02/22/2022,30819,14507,45326,12620,4082,16702,8394,11101,14507,25608,1440,3016
02/23/2022,30777,14476,45253,12604,4095,16699,8389,11075,14476,25551,1434,3003
02/24/2022,30755,14470,45225,12603,4092,16695,8390,11080,14470,25550,1423,2980
02/25/2022,30779,14546,45325,12609,4074,16683,8425,11123,14546,25669,1419,2973
02/26/2022,30768,14615,45383,12568,4055,16623,8459,11170,14615,25785,1422,2975
02/27/2022,30828,14627,45455,12612,4061,16673,8464,11174,14627,25801,1424,2981
02/28/2022,30816,14560,45376,12626,4067,16693,8433,11122,14560,25682,1433,3001
03/01/2022,30726,14563,45289,12550,4071,16621,8432,11123,14563,25686,1424,2982
03/02/2022,30776,14593,45369,12588,4079,16667,8439,11141,14593,25734,1417,2968
03/03/2022,30675,14601,45276,12518,4043,16561,8440,11152,14601,25753,1414,2962
03/04/2022,30642,14607,45249,12478,4019,16497,8441,11163,14607,25770,1424,2982
03/05/2022,30553,14629,45182,12445,3992,16437,8447,11176,14629,25805,1403,2940
03/06/2022,30571,14628,45199,12450,3993,16443,8449,11178,14628,25806,1408,2950
03/07/2022,30715,14576,45291,12552,4037,16589,8410,11125,14576,25701,1433,3001
03/08/2022,30702,14511,45213,12566,4054,16620,8394,11104,14511,25615,1421,2978
03/09/2022,30802,14533,45335,12630,4086,16716,8401,11110,14533,25643,1419,2976
03/10/2022,30681,14500,45181,12543,4060,16603,8391,11103,14500,25603,1418,2975
03/11/2022,30677,14571,45248,12532,4019,16551,8435,11159,14571,25730,1414,2967
03/12/2022,30722,14537,45259,12579,4035,16614,8417,11140,14537,25677,1414,2968
03/13/2022,30715,14546,45261,12526,4059,16585,8429,11159,14546,25705,1415,2971
03/13/2022,30715,14546,45261,12526,4059,16585,8429,11159,14546,25705,1415,2971
03/14/2022,30765,14544,45309,12557,4076,16633,8435,11158,14544,25702,1417,2974
03/14/2022,30765,14544,45309,12557,4076,16633,8435,11158,14544,25702,1417,2974
03/15/2022,30623,14535,45158,12471,4071,16542,8428,11148,14535,25683,1396,2933
03/15/2022,30623,14535,45158,12471,4071,16542,8428,11148,14535,25683,1396,2933
03/16/2022,30575,14561,45136,12477,4033,16510,8435,11149,14561,25710,1389,2916
03/17/2022,30628,14604,45232,12501,4042,16543,8448,11165,14604,25769,1392,2920
03/18/2022,30498,14613,45111,12429,3987,16416,8446,11171,14613,25784,1387,2911
03/19/2022,30492,14646,45138,12424,3957,16381,8464,11189,14646,25835,1393,2922
03/20/2022,30632,14668,45300,12510,3991,16501,8477,11212,14668,25880,1392,2919
03/21/2022,30670,14664,45334,12498,4011,16509,8478,11209,14664,25873,1408,2952
03/22/2022,30632,14586,45218,12535,4031,16566,8425,11121,14586,25707,1405,2945
03/23/2022,30677,14584,45261,12571,4053,16624,8428,11126,14584,25710,1396,2927
